pid,score_plain,score_enc
33,2,736607355360822956141153523029327247646629944282865313031082216363234332238776712474387212866229760815779550739128514671064311307565413427336136703090449354050229458826600000489114062837661577993178519466692354188892669945948211272962440795019396829099458723506240577219061533637438556348339580688673905213744292155238761167714896804377862454951416721590221174533885649530309532983844507672008130548964215053263286288033413947969547916984973219338619701235615507751224419735854216232690490774278319551193068573729432859642662749298691276606888141446416924545714387350226804179433757178857702483990833509068592945752767858211043768266604586519445260968919019426749590486994029984330089123450376234504018704147360291737313607810416386719739865289759260527995846169373207596444982577965906955970118571628684518753172350346451725840474774403552985245871283754739224193396439853163376274063189260329458197499773586615521044988227159026911848280077790781464497815264072947339335114136272397937738838632588698425387736481498072035224912298835965985583951534703423168614538084238764814156660640599136688269459028135754804052458396013087573504706708947207060321871703800429016565889956702538000014373186624265512592698142452522487422894783224
34,2,107391310652418551910386438329851666710190831367192299064155049872960395397715479741905713958251187771886534138542103789916002416518615108460896347167475133879862729145413429562911708283856974442189602842550038246746395573903067063138483109138976465366456869190042283564565176073999983574867478994300709797413002063106685865492955268009922762925517282036933476735689345384429019490210814223239503427940207589598376098952403428685569635717814583220257129958621071588649485389545780347240383686179901900722759986414250850397940191238475991156051800235509184087014590466132878249763637722607300096102131539921999425525567652796269693986388498348572661468754180103248748866244544526477866024903991556393809313252644700189977840818813695535617399648265043230032694253695352483907350606881847275153863692562652010667981405607443228469135327442019585955501528834874250779799974293309084304372129225272637022912935526818391412319331701946397676830511746197854380073061350694168180845922349287274878228906549972893628926071689655159001430781616642114658700775340364691535162273236847729214520956670317607903170694392245544638380716320844152351898648744664733333224413204917636025158997141848923336798235456435119376874626172245934397929085011
35,1,756690083633301580878575949844225866049661541342831862624743076303451350840169602620176928187732843433636200514118879741422636154052664989410306879453331990186016015223673753226162980112932142856520193843223817887439781548534652907374099285572387236544805174566897948084717116179072724967291532997425591639229061120843805929262181801422664161449288764663350323675879800144700215015324801309253675963112208287914940669816642789517228634457995591825021786201443239357588222221432276830015674325454834282425291465560128301603870987489148303652214465768493950934758848259098838709420889209663561438761197422374066618115305854490136022385879620491027970934416251856954230027961135522016167350986767453952928762124467052766001652249325488558321226516788656417054750472902146215288223261613136681465904649236263260405682678713543795184638023155327313176734251149500166164647679957278152383081871473399831583202945636165710566311819504143893082932398341492390385405932165980630690181417345620970101933710466427526827943711495937583055809388420625191286914491164285789148828952902951760639805274458326896521896414799462163468448341594943797783870244713618217229715712508038564311837166862934398283358052599553104232391375739734307707597882843
36,2,603083871031089085228699267949931566164055566718213563010833060374588116088494185533031728984739396996419273187534516649258658254647572200947069460574115829781151393710035514001269369763548645495484388501600664166309814070354057443489892363317577966729404906595950051105394101817839874863851818457936351204889608841529751889375046898636799047797824303302874847582522581655325760052582231178732089733355012527081896373785034388422641236633692500386332128467211788744284389738596370845217682453800968481126153508957829175946195563034927724359871991137181903001049007353887570716578343070828569838064283999443465124587858006558729046298734865166624132374016435504045969129452670051866468486870880403646843810901570312258368192740754298235216774923069335070109462852799340845000231970365489580933041765112173332010588495733483580833658873634347103557145363770978489873466023133314960306226701984410861095474965036979308383524385012647428179158528110276566424990689107547042328656719836274168250468804999766681435308392434856867351159650648345984590465974705666381072329319060321684184306282449642575127993163644348448860901424797418660347068007434637880844087762039243332062594988211194619299168044329321762405729883134929436528314205318
37,3,456340832076016467390537273186094564970227606023449508654903285034092606586330193554514164517097401020788115684396346980949489751554402194802433075150258254173668588219196960068259620786457861497109270338978942329492254293697042145523169210686451000201931654491248336492697569386820402767999706882708910947070815759785196382683335539975092130681675577810279690220341573892656353005742790636554100732767782531889199078185952595398846864027588051388639157921448700036110259189446486492778454503605690470485753943086494895629914976507820933324854046585700007751341556855465131044804698348976475472935703573822342317558504159780284431124824433353596780040629834946027760107406732507941687229614867477404010227475698844156983465743675236531768512145928668189127009078535904906898497438002509828836182216472255063517862346985633061911694520428585665421833546198889102086846234328178831272024801019412084125939091440275374583851157792455515877341354428267812336383809482650255731506185872552518896588428539127808335577245428276718669102865094101652824081038951321930637481694817563069625579095146023826397384298343194729230415462599690155616132370751500746789355931609845132443224673787552221835767937408803104431503779129216528701659889934
38,2,639172100135869039861832734276369433234190610938622743061435174878109114493359041111359474544125460094160746563406158649146112237112145938389219219905468526184826761156994110911057743891267555496018407478481306557583462359178499919016308327245666401058126760361403833292849262970585429550683776847339824505346058201257467962097779483731931550618392987406335899765002181950369674650604401418654645962329970102456111727387440741857176747916632561647764166517941574317671587000592774274897843625969338681645022067430260027110582194612145472160022263852855743622811818671895641621859284304862134067948530147688890792708638264478828250298163628948975653629928000163955175706635697286074792200710190777624118763306183217652835968225797142752089853598155027430884685101057290452724357203136659636696574270129144737151342756313420018286700717504258626366609363630789644537850466603458604147584756122868523723099633655802047180677047018827371783291849450977937838576942463016656208525445838573269974588034216350820029281825862364363689973430328147404425239936015208948695548317081193146499213774944271157625735586440722754762959776480224445278334302447835473718605443357347506919277457704724742024169792192987326968497908339523697536620134484
39,4,311354614974022637272947558654569096912974336248458880201168911422995027233491294078452997266744357982496878358631540512611017230650704028562365606271045991270977488578072428544343457372768407305572173576763213339386088530154335108615263771516172245007010012686776746046263237625783938499686788464737757177427415941393608331799950801752114261925090312833306447158595504097164469228935530371990865664224889871605937890039050257893403937255011793358977725670431992439217759616218871667813259476978253540565784253182817940253483087029386694062611244810591522584711413768935385979727686982924096739199977465436502222115611161139873666326344051882476005170783468523587231284238745419549222605770597766081071957641591300817580111911164848328916343140847004725027893551366400842670632807764033177606049064893932478887920764646422360959040557821164881029349061180169552487180940639535779135548233803485799766903285013165188378593187923044242280800934553941925771999880660587096974544288069041112194020339955769197130823026852881980978335837452755478741333753788410612197434411320894939440775089053980548849393407484490659748228142665002412055166385628344809520059253837806072719959468010764042891913706624154581006613879182124017659836792405
40,3,607295401637796351132171603345787917468479362194427841609878722141069009922800913321939721372525447360731929699257680993717219839989977125568476602857012866479615936935179994219933540621187455946060735509126625886000263607471623930682056161677800030533442621439908586414384371081569081585211545768001483885977352746147790356552379390734373345882050510157349522204104946583292704669667349480125885861831458121409615331669015750245087738530258315452064164563129263798739604007721550082942692713609291954803609297289147167640007990370250763777550835313374676873438961813268707632271939307456926757030564517127963107924472358466384128954212353985670661698171016427319532384335499748515151072864896549146299115440525101448524553573706756591406049273784643080283808108675528524123433335680734350763462933233797945223868156928129886527856774036527740391924941607843586677580868874085988812743259601387662034747723234597055744075899564277912103956852051170599842444321991628648955157194515319110988436517919339403579365296350024021138440580653153295472496134173140495346170750376150058777177162313188011457240002465131963195537584525782155809336104955783029794098435550757816409556632230023652806123101958779373315697438741715645644677664204
41,3,99120941448026655095157299137992435394497614014880134813641902217642162466779028194093520396008466892742318461995968684764505116334252659793602881369398069309691508234794779792765690337584304108310319813164640214909576627620948494646337327883475623729293031876686866565101950507473278622575363975079069863116291350940313813889847364249293784466294494552138362216439380327233348750389792150404220803905387153802163519870315339207079102802958198780955370209010294618162720969821760360492586704604084200057249157634866081296325863950863960842810438082761000328435501451726253953014163364587729475656256639737629440804991273740771704275700408657364206791643973507425072252257258075161085219979795485845625894058401859063297182394846459726501997238328656627895422636334475454743099765221255643523958134480051706694249110867690911262838155209967420152242507987570536365455162453665051088228957216763112914404716570271881110004263758841778421343657730968277291498331630838283540873285945549990306203418837505604315816505257342086827011689037474362722711338657589972016191551110440169978974062681897527137429269800213232396511526097963901529743173925774321079382105623435696027167589825427623984016924181202179650657136371220008845968186184
42,1,705126672177964715355739838432340782064452336105088159073367339994263057082046117044924412129275575823134945081635117342480424628627968442017371716641587878114679928394421542439543411846469439729289979257192762454694057674475245458133051275932701498056711423183148502561810283153095548550993901622355886227356611948653440264573706261889034607464848366627814914171609952848340792035866376431628664408256707410965369485389081193722557756417593099379465431413531716585692419361929191208275527039658098315893210054613864421456348980492066998493190428628467876985933543462600547538801704184972265307584948485228331413972968751624733147868092328239331377518248307687855766282877045914910628393332350824063188375954352044245886873066576799374647216378796332728318864297837004715696178893162377525473903858282309458262630367255488813515978282213189678081904858914271848461422095886799030741134335772810064449980711626023094838551526009803202482447098486435757949187522531519171692407478460547221725344493955209595251885634050385732443982772252543329848240272703755916901990639386545732170052158617037571541362174271145737566737407018747769444006242761098999830883802540217941784560260542560009599499609770681827064570217261069850758509272729
43,4,674436111022679166796272004219325453218595762409298595955830764038545511019192151224282051830420953207845255152531255455412060066121567877904774422531902022412486318349523550908683558343923554749075860865240229597802770470363409872937998226577111918527519607903624160921535355694045094987044320080907239244035070840842895028885038663951541482716851573036454880020901470939617194802407013360640136936918305528152016470187155314984411723077944258260900162229418163350801323896810763485005214168536121974536265210159799743962967195653679536327954591042277729122716531118599303323198581438732377823678209481543210006833206360113043489675063598001552781816273496295352902091440134918049876320129395127003689232854114338288158701884779401365857889769351826570664094442562541453655553573270503802856545685750031824158909330841295378699457275372984523942640674589763219990550303149237066058129356574800846849926017932184251301013415405709066205588480723324433948487152488656982751890214821062479515022753250543553041520020463772864653768778890625051193013883842230321825447763974111421930986644728954180157075514204226770828372666587959400079839436800082643592346085623604222456593660971399845339902022577781626098491649887616680696805134768
44,4,673257207957320256507091433122774954347267850115839432730689800155676373899786577777941222150511018505372862512884258575242031482924565572520727578826803961261740932528324152458059712954049033365819149717485235582575991683471544787275153074777384037836196817952922487498069311526974222778820602682534699791267058698612436194308333090467707525904041725094968648539866806959356753432295356327136586271029609499915067571577156561670439175538396415184600877315267834428927125937949850405237410925052116910668836269682531058899332685628404196769421216299729215528593612915110555858407578720150464109806855178406545851520270991900885464533670443425003783020399400312535363297335220234926925370597409916534631905220874647553737213155483072199086839668861300497476971119859869512655386675820718530711828770075043735370439272383336491585459292895573551446520366212623477088917665152671172468553169394257009998658834671699753550982275802144139395823109831779244595910348887456932022205677540196689733051425142884085271139805547131628888037678666368063786725611981942461743165753228946270954239872993386063968513196800565182164278394031900813182763333188049217216587851462674822617989355423607295153926443248974039490674804453374335736479852916
45,5,163738131196877699983419711383597103553465926368828487481128485683155387081062635756083478445770142293070687190196060750651219058828075012383382504920784468271883402369294380765330978225381823479940739568264315657400790506785792691174453349517236949904154045917044205327074068528817314989804341402581661080858637959914177862544656451825448580443068796566710034091212296652771683340402937889389517139636859659460839516287518710551273678533312669205875013898510146286805528251341217301940322479552183283707309275910398108743390362100217227373689479127534329220336105327349007720773757943396331758470434940283393364684793275206296721253468542444885668978970114614612075277567350666993713812543347698048740779217795111510685259047554571167783957711693423944612114534697989261508356086978278406472831145048354708305866187773223772756517424096478897758760875087130867863139240989653990462997942556529229577423693009870439013672489202210924499389498159922041253423038181490002988687409572182126186067627298935787349767832916850845273257089191323884301501456837753707864263790738760852039176510566258990617584594620836723178545400087821346752595688969282939459578320581141794871837405401099627227779259252716948151927916672337652513095679388
46,4,486139963897699415226959267820506172726017250195404848773579517801498308164985901054436233363091551374842558766930512798474247485910919395173064824973304652388874633508559915983356821161834800042829185614594172180550674653526916983662445325465123151191927099325716890777705356213322023944678652924720347011236040572904865797098251257075768715162805360557703106862224680906424037293789793720220482647993465195439303926724397598124651657997009835809273348267485541156102214597871179287506197063673327198804356329862950546000695763216177315206168363158915102366504359226515674436781576491967497230791956317671067784682668205741426438054844507155986905584957028398936865090473987402685674192644592644141171373705480976794352855527742792632262200996533622746394039150100332324265462207898603703238356996386964318880909299549794697060959389675806514722990914657153670039208282031677493368849102614760850220124472572606083176518958754921186479695611964283514810638195225879073978847456488605890624291086054944712295157900117074017174021589254186960601388320101660001325274927521809948582836287261469510136228165332936542850334220685258850793264887468015321415421397469885080445082184647691121992532645370431038725871306916164319797245567299
47,4,699503589086189516671022887064693613741486367267813084915913373938584771075732713499965189126321300006771872258816723475010098620726647017291870122713077348305694183893882965221364404500268198087889579153082801840800469085985807148767109023901432012140033242236774239104376210022506397473011907546873310725531376616095698621027033726806290555978740211694752338556230322524718008117167502249701385082670971831566486529126409665484822602681013445318323436728518176831139521890956604244081568322649272919659906951365097744758608499462043906687687616655308289382136063259995232043365430383043266915210542345683707493797023800511727218152830713257722237759528846817150489350979397672961259772634204091155158800638327973570470592037120498613834972311953925917036730549225170714192114818271982665819548386726749034757552740219922839784249886218019606037283157042080205428208984262433706612392674008597522803879189356820680680261606566830203577161777026799665954108582794364517255161998499625417262418545500964125948696209597749175224185836984997968792048019584437970600652303386905689362738682187495726702253345704973146782719165553107068639725950312684748235813759541352980501208643371303573269125572364420225814169489390376190443842396323
48,4,521640341122182499192376505961152186888428970527233294156848731001597727114920151666723778245164601459297198711257900481242160863829333002008065099245809504052615192323166438316395553603745630125143288651686078142172824820258354199134212217495919919907732807003788426668836041592988865741023354601854050103811959095987282153872149961066622228910538435949367173967170677650744788439082595573570067572355918635790384404714172976945996763984244834407066381350400149679494696444558056378156549634521094019713407331789591333938612286114432259354009973766013070683473417253127991544333141896585729470218788945737378796601536134234236236507755627817403564569019919950328432578949401055649104522112023540126191390002145646977369999148755256808216276449988765983233243262992497556449830926378267534148833039189522665811461514592399398569355512446081856957056597473399647226165284099808985425431599765146663054381645382240741401566910401673898037209495421348462337219734258927211315818656818680030944912030014603400603815309345907579276361897534706828808217741199480675045607965563745456419191978098020432355462287614257262286545549051099267655420714100576064886456921725361144003338518714928085711475026297649060753052352613295147258285516708
49,1,218866112365901345004973107363494728718541961331724202114620756633545468411870070827047510572271151630911477288494437442431103885425504249297039541038605970368951611777865341692952758953370049211891087970717184051880466720017229881099904013246903732974856051641386446472780696864232618725120239128438544741547349021827002344152847091389112888816492105901368223094523814851316333072340713490213602970154564236359692709472518851593172992328081001299001227667616801198639579109988829112561591015751599323137470677896371331813082876133135204383787089523895328743504263346935591648755366790007832233453597909578843030910750384824319786217393996252899828372212248062172407752366307263644400072490289184717251826336096703727214027621003052575027712817189794853391948853830741369685697646000034923448845699577472839628897147416287998994827144675006779104925089417515744830652729076684999622287238255228489942960035168971914497849070940727484070882463870175595663536714678851646429601009693632220325151399676537648897527967848535961935083338391370676057723217432204551148515372206441572517078722113051022333281979438498587743814450484318449059470537056447154162818438215684974292563124842904921470318068506090383905856234597938230456777257522
50,3,85339919125525638478008088024292220294952740699102854023542691608687565279564268245502238991150307461148867220829101463805869531614949275832894530638448714763032537708284798299849296869082263253731580665966526487984936194289860776645720278309612126143314844810737961160149813493746737939672782819702715701443390335069280746808477067580933666588484624552311599170384785089732050557128109802509708766973617640184681071496320266114308648481008910893264636987709546284975853684453006901704859051743569205877593019729883419875125166650700018394291244021706207061834896172903913281229003408557687350834097809504768821936681772543947464399847205300930368328692331923826647494477348201044411993693037755749331301803586981537078001846418506294485851518219689603886523480054416756125821107697066652754208574902690768542763197626084199276677270225030785545402741857725424940725879534455808774490785680255603756475678355495291245318314171286668308204055958585794179870514305421579849343617992654574380124456421853444702372054239326621403981928532116853844357509912254950608034354644907976340417360860447779650148365721653791103711317135797657317538179964361948134031763288320426393405479234594082766286746944510049115424585755382259170172631959
51,1,347067636896737763277651168996980730232123679392330653070840039480475611596359565382279922236008191851089714166506307300137540368761592532972638835524066916517661848732768533386895416556622138671875834625320746993464930977338287880172892724773455468701215089969435149524940498797311829696628227602379488527790963443077071603996947896358309996947864127930194714886025770204206229728771901710858563256293140039160258118110340531846765927542100457589317165450202302537393163103409309921094958926351009015793395392470086327618259682709462345992952790161395259089182251126751319914777023268021918920983706067182559638988421884493023159332949455751600837161700858927309248758835089023065042739111200434683681419427184605303995757434832940320540877723722791626410730496468582337053225926387785868884782150715102718229631170347404769380968700568492534376385193767343613175806474365507086280260826301577960295341362862523906481151776393500738268893618143337453797989046585518798807001906167033339649401981600940583709871267868430487340772809995700240777320132800479872078946262278359790631467673554725918739934356014630428517923632638866189443597982925941833749451770377494795332253593114875154636916381347869331381575729337073078027371508228
52,5,235470546578164743869444886186594625592825737076493229782027562818216714991280866375461191138029247742588800228783814715992359924662321741887081176874240018591777337754667131507543914376498579149797339910285781136741758958055253989567212054463851533195455893787938816835611017399079979014597663227205158563574104514705578772776030431549953214213747898247947916740661074900851507675536137690384145169359254227133515071754130098400038236663788915952762866318079931259583246152040804310755727162253805214332120720526762522306755424827888630578743447827354864015327721117454486597483375039873890571439511780767255774331191702645911933791137166073274990421698063710022357074166189437243757370527683669619831888758385431184665075291137827311959203789920232054522821639384753547072558590445237272669327402973895666705565351701339514417425166443346600839873401809626559199502384325922985185579331231080229582211355159958455675815687304361788187300698255729975913731396481319888091497260398460636225404489391450609311626257589103650179967149573470299295006084281560394320994614566541232886700561298862699017348507457839301996458674091622691506562890739399531276198728973673754209780539529237543701396954017328984542569109588905627614514848609
53,5,91131578086117329747312031438024672450373168705037487344207897571218287268947536953399132120818597779614235884420410998271079746893691200188074535093781054099354386527722596740347141872948647149616837812236644408742635894111687333603800559014454741781097705406600392750011293628554791360769136891865113831285336722196782721927098334957703356788249786604650958750626949529615506894710410961986686225993045880631728251877564245445165610111914530668532626301874018604242076081157602503146724410127705659492751216357595606454077758705754708643338200969518731285638452749270127818882823203373569292478914808189456290136224668837979598301008887424099808430428327534657155475087059936721088318473644501743743239806910058944894802744265308599719979813892005659371861161084472509768945079062078447494699988748057289207910748845921339949517825174928637877921651265875119607104593174097432247139547327797873510034068962116459680206673960121059961707189215048053069059309623734998431903068946350074121861436139087803576247736508384643337480357390467413695574542326116384500835482501873654269956613157579233182297824528052217913366877624788216827246290251208905645140214127543374795498909246493804984017783563155519261544123168525080810648461931
54,3,631523168043755932834260461583878532419802740781359814300396342325346980342330038066964984051610383874406323448658282471457850805662007684533609955155549547488500109859445709813767012994290909493677899010384004892909092146709848195807692168714811658337767466088135253337937134017647802015011940311984403373197748405729898066765592622379195709932957669135263775191035653249539388993001799441046716530296925836880898962716907981921269363462467884668938531173684891749687633404439878786808418539010266299554733120598286746419183726404819018602227726144937499950829877857213705426604621270521108947398982404993435894722409647165795323623056254399362430322316010182154964781590455213751129664913463010547882797474554157232772972643588842532978409979735869688264632779509423969124909351389988610104039186320405500851053632744222359371121101252086829972663597198007377521413615323651282921392675719150798723800117841767366159566077546228774808556772182158884419941719443866543719668072095740334297491256533554613800962470873939251008341992288801616064358984802829396393679404580519506284829934117776938825671650421807290338847409980712934818930152224918283470069272037986066106328555939089078632775816730240907079385319273429043912806212156
55,1,645450170309739732424356482571776569874620934821306979343058341921227057977448866352872365631576446049940716894168920106541665908886956161656045354343249492644461853837607913151061162122939083089045339055553188046520020198529484117101209322535632180177006038358427226222780558472330847144896420285308694895225860495699046275855641860959283643844925341116386542180771112685420362364609402478695515655146466877190902693804093884333004761949609677802045167950465843352914248283453463047407264936523198365212674004569022884012246123068910600342593513319223414632119697525888126086627629254346839451760594726306672097405778169596494777723947268388706953715598863331576322578320565232989061719873567540310518142904882760522265644231891197235889772267680331700783868635190417451666114387020574331497643095111104259494376812936201999027551850040727723328549862294193022725922617111009018056688949163597182871327881601990188447210226108518544486070017270299243788890923255034902451514267652060976589441649478697918882567084448238734453898045248851743424637039370716813108437986150851306773987819872442101012445854372504565197395044764394327999926348254448625440088573508161250684409900798779531130941690652007574979057330985847701534071960077
56,1,161297188995268063678931935426863510134978867565704220994696943219887533973029254065365224245950452253760159008993075623248404932507233421982816703845340205379447229365153461654254907771672315726353419094960078992727068810563005972091603182619766164999831605549254041068345457339411724343370349881292612938448455418087270504547966832235718744095212003325707027028968224998124213145013667576635405566045854739195519797158075591307268385075612096020931533798959401009726894420287955978718155390414647020604931833161668751023560606493224763991615213376849893046155728200204740343815862105197439171390170525202505884775845387619592183341110603640262654668629735801114720450873210475941045126192907841329547469834256849752538744892796340798482451950335314601613053923305069364087017873726337176366010801286257592225339533992425846884214335780569522251598189974562335092185886282447140977697524937497109165756128844109845888665095779577789045647334281602501275659793362348875376654727539987288867572351472729923832509717354514797161965743909038475799485351193424810437534273734095843845334478654763907834959362800442428412678204624105910458411928708859609905845525459025524074919927709316168405441296878305778381922932501648983834406594520
57,1,18957702381891432570105901359243644691382111315069675595428281640872378674765792359576205682937033939668226848598181444686562326351795694507748366902246339931058727840742526111038441131256571717226910565797245849826676405183839722650477867830000841931265605888217001859236160334087983799824834059219087635056681336635468795002888734561821245667472164578610156192522405675066029873492926374995482683398971114926400491577807540773098914774534358029156188537070997080747808090392209622946038666493505618043197977226730291086150071502157503733560724648669090420341337205735660407346949375467587184014416011288314046247571811796162333610603803136410296184781763752745565354081437069207164586348510445373974105887740781766882295909272963140053893587700011159390691480493605450245914081421180751563120694962344269446359722717933785789662895376630773848981732439478702627105394590729299315759003112661341906198652109307861845105551670817482931680996461888176834733737869082918236141280857467386332166674061988280843492382470814823302967321285555575385874955889746398419190650354968840839964833628655953359196389793699852587143330379015433240972823968248816898779087224395567535717169963794438361192616155269657292597371250987938668995808592
58,5,489276769223498263657961270091741721087142964308702254913955857035943894031612958150497476082348255313092417732991845692054691618779187916284910459829200436266271448696519477046472097961624771865534610807457876472466903830346247649026774938253982780519350762373373349083593567786811553168094349502740028863633886852295210846994520944197899157413468068961644151565650502453713791138707522457028387131368191699433298425873499025961111456294438371074540304563553454196960936048671497661716424340376643187910512138542573388958044573496598335662566648832371113861988389123766868644465949192435145887271535256754337686830286730052739396585098334225759377335770459065183038150210423205696367678168996286540156508468918503466589623804204186791205290120695066669249569877333669193602072748356317088113110651239096104227837706155127253447035789923911597247829880014699464221741596458710929322716651052131502461757314081618659838586227339958142844202815816032926562213402393242325972839251567402168968836547228254138272503779974829889112161167528823674147233615662997433841457266509125824416140925845592627678281743953496109974938532315184747445206830370685680141243412865061437901687299724840398985162030075942986917346416239426183498885072893
59,2,358749072495428909550926763692171219221722594311075274976265886281864595988668744319217531253429174825219403205477585046512880554036239233848864360338189924765798178612640003723274369914776036272575381714000792217172661696927723964106244597930079486690950697435854048503433035827026033113150404863124489683423926041491887421200480453148515073051828351676078205705514163527743241328025234595156810033773701661495111857406707645412534581814235659071548711191654496078715231093365018792942710782267163490522184965393937378645052631693041497748739278261816707970586911619985840890889297575521779148333041631630209132742174049055733469956635921051111215185548742643846707304445277674091280450931252906691670715945526930528658386887826576744797568446447968564571918165367305245173043368561863546306712106080193425567043921887614195902085546724136767542057364938877254466750363051192834648127138900155984699915735881164004576280229794265329516435952028962977769459207085339299727906622512168626000323925127581508387524531982451068927142008243396918510061224708902019828148299897456786460568575320056136759301803282980408042454629283472527408001774277752357196683882930421517423231326782577118628935996470590663677166093500998982586841165902
60,4,737384643257833548108000703720296578387047268746746986488510928685367134373054842748282454495244217647614828065925845140702401046179166311194492223051015064151667402861939894489743562369373962844679701462551223527747640016111834566349563405925043617637922007804874929498827348339989614309816630875690312679520650971371314848684257798327073232957134849187062863964570093834646691998655908108972187714833156126074005114839679761878026727268580793040631305386005415811301861042801235260191722861182624594376591939044533993148518038416549261215707862676393364383928443465345507311340982092960102600746160507897664185067879807115185873907501770765487269054596971551451723256970814258517551167933217364447458624228632684632586440358953462589585285883817407672569270423451554304998618323962961852147123168612983725396226651206449052175848517268916751512681695441959250459956796793575833486767556879594872044934770216225408411427498362822466721248602564380627953810906258452609561412010179005911682029474523693121199685856607311886891345086657379755585768449214346703563131139869585534155900034305418244222488308138868181982456005163430888899148113056612924916145678201888987989047252276738110723328728695479543680588427196663060830214466385
61,1,207510213132237872505638326073695386612489662463482635689268652181088780963553657567326181800167314561262673201033080887090216548864937444829245838627252384756936772166380939578640881175126045866813742312560553204287427809375712484012368992686705791151277337772416145773869138537287331269439890010878776805163486255046575400969353996182693926507844013764279600725363179635750988617233188702836715502286582417820861513928715129506334912191308330880515684600462969611585326374021494813982386046522850442623824511247500313174974892375529939039247492323442412455304639876458432614284654418705971779370890144327064971696454234092665735375240531164675508923782825342569806816927317293502839118802963817070209113075410375489001220354435053679892065912646882727683442232121249162926458842732049868315654239810150029615887697642399583313000089451295591472882051795319678365455404119365055101769087223136941762808455782425167190956319721650735613187837373345385188950811682229415738147238638830666270899043051948702448743362605984430104598891838997326129259271549233030816585132948302720952586634530258556216284970187190897096719581926526550977647790088776726122248670071442877071513140284585896227104963510881611714600285057146187794353115570
62,5,176008235841485349315390208632399516767157848864733854306801064837613667635343428524830655055233528975246497859905658790184348208337179535115777271848307742651619659737917298395788473895287763527594849443252021747328509493160584361963099122076868290260535986034560450494104174785556214946611997015765663081635949618062497890300446459279289039252508899935414870242481274003182381190371220013285468517054893443884520043332445011509182069998328332599554076970187938502832333942065799969188817172386874004764516480615252774011910280675500531668413829345374636846775952061082119566399395792697835820402133185855284149519684264564328613458160083339830213091073381896795182347787949049696682848049683063641372019950125422820988240212910986993575450705871494417466144841109368628022342275974820765259076533272356519897863733137365278222959888428941993959212351532874669359841070864858451674133980987123313676504795012654202820566859658458444218446066371063226566133940273028432332542965962923189925947248052478692196887714288753513442307055878135519669250297798650983150962686940841947071872590344584061989681066944548998508019547485812526435725105842757679577286329594950624351968753781794851390154229805148744612071040181873089220890284967
63,2,580221618131724032758070941265533897787327051768162063475933348031929645525481973008827685202282355861912000193953811297472631630654946222709450714801068909353639966817123545907813657366382461448968851059951929716797469298887792262053763731969112559912022507516736139480857954584831385954931837231740957110968658843070524929491964064308212299103749305908351546904751456389330276986369548850454850649677440293826721703278614103152367776433388431277140796651724313340730827636117814088729965197987892503214864048215044102356998233988214920761831134266374365017514391036582629428454554587998463583626460321895342874697899449070199206865411685547971029132229895123105662691648043401514059742416485844395299831023738351127361247233205300915001016688603463918880026985168163195275732987498682256560158360511121579197262084256811568625203988973201061273684072314721006545755904137701880440179280276081056764928097840895073375140379081245973339893522295655001007678242075743391736404192449478393993167371093761996140190382605557209884992183244610327631575927334548504790588032506986524408516791858102897505552412607200534707695909606169181713797339987509647777162791178433444408073835043273467767009589659673121273949700061083062479509068007
64,2,138451514973189297520722944657465011394971233912544191643734159697782770934443814017536172519961512340339535305325419467776027693563471718846063070549788071829905643557957721024011162529045914288984438787405736112224704905562994867941231228491379371313769913404717645092814487449969118494245391306206164728062537858875710074643356875312244451043853613318446266841292293386238458861752721232167555657000695731484606112818184193262191975447262717341895810161340180140946311043100854148897420559806226457737719246557454563771160103929228693875461474235537407857569857769957078828050854891364145920141349603269127180430730477774512471572190322890364138520092964656763601534523425552252793231318367392560645120232934838490760349245279237889528383320921691771355047597044527841010914751214351118224332870254266140137860017130162958426856585845040282664429002124312868958834534178559359333074153979738311098842108944064777229765901038816226652347807909117862590759277013600697730383009954053171390552734175543551018687945027220396262104609521755436001494697149599418157853917646201663207727331367861286219281174415941454543350455022922393056823867029573137276280926204776391723410965210406105229713968572260856445202661103078673098089982946
65,4,344129337288429996260734096998107374851606412442438193428131217041645846970342616198751754855735472645606054988114400027447218575892350641015942305851310940649773470518355075563670809587521895401656532977848697723076645525966045127418634156608408104364491738529943336765007629637509493959265010532860240888856998111228031279902639271600160925816949478867735005683896814847090988716203511124545677204958195387834270607345995481218954475530592271566971142997912335946580198524442117571905744114221851400937300843943839954776528916079779521099112111342081152792941806448502813716364043245335786556644824746658032183896736348026767371954441223061551203243454633676122963006139271127373351885603141298302311263540967040097867181989793688138151144824831612170688507747675937568843763605119237671920308758746970088474143728179811439111222582722908440367470533906132692554058504420420991587817039260777074978089808946267493843313868109353542942207941733209858726246537032396276202819574520162942725408602011716533716195707450472172804739812119368472122814783955505956673138751075568689313611533679915789240473895376299671130446754414003757959900151666177422869903097527638804455669025400264392745598886853929512726932300211137962624827167560
